During the season 2013-14, Stephen Curry won All-NBA
During the season 2009-10 on 01/01/2010, Stephen Curry won NBA Rookie of the Month
During the season 2014-15 on 11/1/2014, Stephen Curry won NBA Player of the Month
During the season 2012-13 on 04/01/2013, Stephen Curry won NBA Player of the Month
During the season 2014-15, Stephen Curry won NBA Most Valuable Player
During the season 2009-10 on 03/01/2010, Stephen Curry won NBA Rookie of the Month
During the season 2010-11, Stephen Curry won NBA Sportsmanship
During the season 2009-10, Stephen Curry won All-Rookie Team
During the season 2014-15, Stephen Curry won NBA Player of the Week
During the season 2014-15, Stephen Curry won All-NBA
During the season 2009-10 on 04/01/2010, Stephen Curry won NBA Rookie of the Month
During the season 2012-13 on 4/1/2014, Stephen Curry won NBA Player of the Month
During the season 2014-15, Stephen Curry won NBA Player of the Week
During the season 2015-16, Stephen Curry won All-NBA
During the season 2015-16, Stephen Curry won NBA Most Valuable Player
During the season 2015-16 on 11/1/2015, Stephen Curry won NBA Player of the Month
During the season 2015-16 on 2/1/2016, Stephen Curry won NBA Player of the Month
During the season 2015-16, Stephen Curry won NBA Player of the Week
During the season 2015-16, Stephen Curry won NBA Player of the Week
During the season 2015-16, Stephen Curry won NBA Player of the Week
During the season 2015-16, Stephen Curry won NBA Player of the Week
During the season 2015-16, Stephen Curry won NBA Player of the Week
During the season 2016-17, Stephen Curry won NBA Player of the Week
During the season 2016-17, Stephen Curry won NBA Player of the Week
During the season 2016-17, Stephen Curry won NBA Player of the Week
During the season 2016-17 on 1/1/2017, Stephen Curry won NBA Player of the Month
During the season 2016-17, Stephen Curry won All-NBA
During the season 2017-18, Stephen Curry won All-NBA
During the season 2017-18 on 1/1/2018, Stephen Curry won NBA Player of the Month
During the season 2017-18, Stephen Curry won NBA Player of the Week
During the season 2017-18, Stephen Curry won NBA Player of the Week
